player_id,signup_date,last_active_date,days_active
1,2024-01-07,2024-01-20,13
2,2024-01-04,2024-01-06,2
3,2024-01-05,2024-02-03,29
4,2024-01-07,2024-02-05,29
5,2024-01-03,2024-01-05,2
6,2024-01-05,2024-01-07,2
7,2024-01-05,2024-01-05,0
8,2024-01-07,2024-02-05,29
9,2024-01-02,2024-01-04,2
10,2024-01-03,2024-01-05,2
11,2024-01-07,2024-01-09,2
12,2024-01-03,2024-01-16,13
13,2024-01-03,2024-01-16,13
14,2024-01-05,2024-01-18,13
15,2024-01-04,2024-02-02,29
16,2024-01-03,2024-02-01,29
17,2024-01-06,2024-02-04,29
18,2024-01-05,2024-01-05,0
19,2024-01-02,2024-01-02,0
20,2024-01-04,2024-01-04,0
21,2024-01-06,2024-01-08,2
22,2024-01-06,2024-01-08,2
23,2024-01-02,2024-01-08,6
24,2024-01-04,2024-01-04,0
25,2024-01-05,2024-01-07,2
26,2024-01-01,2024-01-14,13
27,2024-01-04,2024-01-04,0
28,2024-01-02,2024-01-04,2
29,2024-01-06,2024-01-08,2
30,2024-01-05,2024-02-03,29
31,2024-01-04,2024-02-02,29
32,2024-01-01,2024-01-03,2
33,2024-01-01,2024-01-14,13
34,2024-01-03,2024-02-01,29
35,2024-01-03,2024-01-05,2
36,2024-01-07,2024-01-13,6
37,2024-01-02,2024-01-04,2
38,2024-01-04,2024-01-17,13
39,2024-01-04,2024-01-17,13
40,2024-01-07,2024-01-09,2
41,2024-01-06,2024-01-08,2
42,2024-01-06,2024-01-06,0
43,2024-01-07,2024-01-09,2
44,2024-01-06,2024-02-04,29
45,2024-01-03,2024-01-03,0
46,2024-01-04,2024-01-17,13
47,2024-01-07,2024-01-13,6
48,2024-01-04,2024-02-02,29
49,2024-01-01,2024-01-14,13
50,2024-01-03,2024-01-03,0
51,2024-01-05,2024-02-03,29
52,2024-01-03,2024-01-16,13
53,2024-01-07,2024-01-09,2
54,2024-01-05,2024-02-03,29
55,2024-01-01,2024-01-07,6
56,2024-01-07,2024-01-13,6
57,2024-01-02,2024-01-31,29
58,2024-01-04,2024-01-17,13
59,2024-01-01,2024-01-01,0
60,2024-01-04,2024-01-17,13
61,2024-01-06,2024-01-19,13
62,2024-01-02,2024-01-15,13
63,2024-01-02,2024-01-15,13
64,2024-01-01,2024-01-14,13
65,2024-01-02,2024-01-08,6
66,2024-01-05,2024-01-07,2
67,2024-01-02,2024-01-02,0
68,2024-01-04,2024-01-06,2
69,2024-01-04,2024-01-06,2
70,2024-01-07,2024-01-20,13
71,2024-01-04,2024-01-06,2
72,2024-01-07,2024-01-20,13
73,2024-01-04,2024-02-02,29
74,2024-01-05,2024-01-18,13
75,2024-01-07,2024-01-07,0
76,2024-01-03,2024-01-03,0
77,2024-01-06,2024-02-04,29
78,2024-01-01,2024-01-01,0
79,2024-01-04,2024-01-10,6
80,2024-01-02,2024-01-15,13
81,2024-01-04,2024-01-06,2
82,2024-01-02,2024-01-15,13
83,2024-01-06,2024-01-06,0
84,2024-01-06,2024-01-08,2
85,2024-01-06,2024-01-08,2
86,2024-01-02,2024-01-02,0
87,2024-01-04,2024-01-06,2
88,2024-01-06,2024-01-08,2
89,2024-01-05,2024-01-18,13
90,2024-01-07,2024-01-20,13
91,2024-01-02,2024-01-02,0
92,2024-01-02,2024-01-04,2
93,2024-01-04,2024-01-04,0
94,2024-01-02,2024-01-08,6
95,2024-01-02,2024-01-02,0
96,2024-01-06,2024-01-19,13
97,2024-01-04,2024-01-04,0
98,2024-01-06,2024-02-04,29
99,2024-01-07,2024-01-13,6
100,2024-01-07,2024-01-07,0
101,2024-01-06,2024-01-08,2
102,2024-01-07,2024-01-13,6
103,2024-01-04,2024-01-06,2
104,2024-01-01,2024-01-01,0
105,2024-01-06,2024-01-19,13
106,2024-01-05,2024-01-05,0
107,2024-01-05,2024-01-18,13
108,2024-01-02,2024-01-04,2
109,2024-01-07,2024-01-09,2
110,2024-01-05,2024-01-07,2
111,2024-01-02,2024-01-04,2
112,2024-01-01,2024-01-07,6
113,2024-01-04,2024-01-06,2
114,2024-01-04,2024-02-02,29
115,2024-01-04,2024-01-04,0
116,2024-01-05,2024-02-03,29
117,2024-01-01,2024-01-01,0
118,2024-01-05,2024-01-11,6
119,2024-01-07,2024-02-05,29
120,2024-01-05,2024-02-03,29
121,2024-01-01,2024-01-01,0
122,2024-01-01,2024-01-03,2
123,2024-01-07,2024-01-20,13
124,2024-01-01,2024-01-01,0
125,2024-01-01,2024-01-03,2
126,2024-01-04,2024-01-06,2
127,2024-01-07,2024-02-05,29
128,2024-01-03,2024-02-01,29
129,2024-01-03,2024-02-01,29
130,2024-01-01,2024-01-01,0
131,2024-01-03,2024-01-09,6
132,2024-01-03,2024-01-05,2
133,2024-01-01,2024-01-01,0
134,2024-01-03,2024-01-16,13
135,2024-01-05,2024-01-07,2
136,2024-01-02,2024-01-02,0
137,2024-01-07,2024-02-05,29
138,2024-01-02,2024-01-31,29
139,2024-01-01,2024-01-14,13
140,2024-01-04,2024-01-06,2
141,2024-01-07,2024-01-09,2
142,2024-01-01,2024-01-01,0
143,2024-01-04,2024-01-17,13
144,2024-01-02,2024-01-02,0
145,2024-01-01,2024-01-01,0
146,2024-01-07,2024-01-07,0
147,2024-01-07,2024-02-05,29
148,2024-01-06,2024-01-12,6
149,2024-01-05,2024-02-03,29
150,2024-01-03,2024-02-01,29
151,2024-01-04,2024-01-06,2
152,2024-01-06,2024-01-12,6
153,2024-01-03,2024-02-01,29
154,2024-01-03,2024-02-01,29
155,2024-01-01,2024-01-14,13
156,2024-01-03,2024-02-01,29
157,2024-01-05,2024-01-11,6
158,2024-01-07,2024-01-09,2
159,2024-01-06,2024-01-19,13
160,2024-01-03,2024-01-09,6
161,2024-01-01,2024-01-07,6
162,2024-01-05,2024-01-11,6
163,2024-01-02,2024-01-04,2
164,2024-01-07,2024-02-05,29
165,2024-01-07,2024-01-07,0
166,2024-01-06,2024-01-19,13
167,2024-01-07,2024-01-09,2
168,2024-01-03,2024-01-03,0
169,2024-01-01,2024-01-14,13
170,2024-01-07,2024-01-09,2
171,2024-01-07,2024-01-09,2
172,2024-01-02,2024-01-02,0
173,2024-01-02,2024-01-08,6
174,2024-01-04,2024-01-10,6
175,2024-01-05,2024-01-11,6
176,2024-01-03,2024-01-03,0
177,2024-01-07,2024-01-09,2
178,2024-01-07,2024-01-20,13
179,2024-01-01,2024-01-01,0
180,2024-01-04,2024-01-17,13
181,2024-01-05,2024-01-18,13
182,2024-01-04,2024-01-06,2
183,2024-01-06,2024-01-06,0
184,2024-01-05,2024-01-18,13
185,2024-01-07,2024-01-09,2
186,2024-01-07,2024-02-05,29
187,2024-01-05,2024-01-07,2
188,2024-01-07,2024-01-13,6
189,2024-01-03,2024-01-09,6
190,2024-01-05,2024-01-18,13
191,2024-01-04,2024-02-02,29
192,2024-01-05,2024-02-03,29
193,2024-01-07,2024-01-20,13
194,2024-01-03,2024-02-01,29
195,2024-01-03,2024-02-01,29
196,2024-01-06,2024-01-12,6
197,2024-01-04,2024-01-17,13
198,2024-01-02,2024-01-15,13
199,2024-01-02,2024-01-31,29
200,2024-01-05,2024-01-07,2
201,2024-01-06,2024-01-08,2
202,2024-01-01,2024-01-03,2
203,2024-01-05,2024-01-05,0
204,2024-01-06,2024-02-04,29
205,2024-01-04,2024-01-10,6
206,2024-01-04,2024-01-06,2
207,2024-01-04,2024-01-10,6
208,2024-01-04,2024-01-04,0
209,2024-01-04,2024-01-10,6
210,2024-01-06,2024-01-12,6
211,2024-01-06,2024-01-12,6
212,2024-01-03,2024-01-09,6
213,2024-01-02,2024-01-31,29
214,2024-01-07,2024-01-07,0
215,2024-01-04,2024-01-10,6
216,2024-01-01,2024-01-14,13
217,2024-01-07,2024-01-13,6
218,2024-01-06,2024-01-08,2
219,2024-01-01,2024-01-14,13
220,2024-01-01,2024-01-30,29
221,2024-01-01,2024-01-03,2
222,2024-01-03,2024-01-05,2
223,2024-01-06,2024-01-08,2
224,2024-01-01,2024-01-03,2
225,2024-01-04,2024-01-06,2
226,2024-01-05,2024-02-03,29
227,2024-01-01,2024-01-03,2
228,2024-01-03,2024-01-03,0
229,2024-01-07,2024-01-09,2
230,2024-01-06,2024-01-08,2
231,2024-01-03,2024-02-01,29
232,2024-01-01,2024-01-07,6
233,2024-01-06,2024-01-08,2
234,2024-01-05,2024-01-07,2
235,2024-01-01,2024-01-30,29
236,2024-01-03,2024-01-03,0
237,2024-01-02,2024-01-15,13
238,2024-01-04,2024-01-10,6
239,2024-01-07,2024-01-09,2
240,2024-01-03,2024-01-05,2
241,2024-01-06,2024-01-06,0
242,2024-01-01,2024-01-01,0
243,2024-01-04,2024-01-17,13
244,2024-01-01,2024-01-03,2
245,2024-01-06,2024-01-12,6
246,2024-01-01,2024-01-07,6
247,2024-01-02,2024-01-31,29
248,2024-01-04,2024-02-02,29
249,2024-01-04,2024-02-02,29
250,2024-01-06,2024-01-19,13
251,2024-01-07,2024-01-07,0
252,2024-01-02,2024-01-08,6
253,2024-01-03,2024-02-01,29
254,2024-01-01,2024-01-30,29
255,2024-01-05,2024-02-03,29
256,2024-01-01,2024-01-03,2
257,2024-01-01,2024-01-30,29
258,2024-01-03,2024-01-09,6
259,2024-01-01,2024-01-03,2
260,2024-01-02,2024-01-04,2
261,2024-01-02,2024-01-08,6
262,2024-01-04,2024-02-02,29
263,2024-01-06,2024-02-04,29
264,2024-01-07,2024-01-09,2
265,2024-01-05,2024-01-11,6
266,2024-01-01,2024-01-30,29
267,2024-01-01,2024-01-07,6
268,2024-01-03,2024-02-01,29
269,2024-01-06,2024-01-19,13
270,2024-01-02,2024-01-15,13
271,2024-01-05,2024-01-07,2
272,2024-01-04,2024-01-06,2
273,2024-01-02,2024-01-08,6
274,2024-01-06,2024-01-19,13
275,2024-01-07,2024-02-05,29
276,2024-01-04,2024-01-17,13
277,2024-01-07,2024-01-13,6
278,2024-01-03,2024-01-16,13
279,2024-01-03,2024-01-09,6
280,2024-01-01,2024-01-03,2
281,2024-01-07,2024-01-20,13
282,2024-01-06,2024-01-06,0
283,2024-01-05,2024-02-03,29
284,2024-01-04,2024-01-17,13
285,2024-01-02,2024-01-31,29
286,2024-01-06,2024-01-08,2
287,2024-01-06,2024-01-08,2
288,2024-01-03,2024-01-16,13
289,2024-01-07,2024-02-05,29
290,2024-01-01,2024-01-01,0
291,2024-01-01,2024-01-01,0
292,2024-01-04,2024-02-02,29
293,2024-01-03,2024-01-03,0
294,2024-01-06,2024-01-08,2
295,2024-01-05,2024-01-05,0
296,2024-01-03,2024-01-09,6
297,2024-01-04,2024-01-06,2
298,2024-01-04,2024-01-17,13
299,2024-01-03,2024-01-16,13
300,2024-01-04,2024-01-06,2
301,2024-01-03,2024-01-05,2
302,2024-01-02,2024-01-04,2
303,2024-01-03,2024-01-05,2
304,2024-01-07,2024-02-05,29
305,2024-01-03,2024-01-03,0
306,2024-01-04,2024-01-06,2
307,2024-01-07,2024-01-07,0
308,2024-01-04,2024-01-06,2
309,2024-01-01,2024-01-03,2
310,2024-01-01,2024-01-01,0
311,2024-01-07,2024-01-13,6
312,2024-01-02,2024-01-02,0
313,2024-01-01,2024-01-14,13
314,2024-01-03,2024-01-03,0
315,2024-01-04,2024-01-17,13
316,2024-01-01,2024-01-01,0
317,2024-01-01,2024-01-14,13
318,2024-01-02,2024-01-04,2
319,2024-01-07,2024-02-05,29
320,2024-01-07,2024-01-20,13
321,2024-01-06,2024-02-04,29
322,2024-01-02,2024-01-15,13
323,2024-01-03,2024-01-16,13
324,2024-01-07,2024-01-20,13
325,2024-01-04,2024-01-06,2
326,2024-01-02,2024-01-15,13
327,2024-01-01,2024-01-03,2
328,2024-01-04,2024-01-10,6
329,2024-01-04,2024-01-17,13
330,2024-01-01,2024-01-30,29
331,2024-01-02,2024-01-31,29
332,2024-01-01,2024-01-03,2
333,2024-01-06,2024-01-19,13
334,2024-01-04,2024-02-02,29
335,2024-01-05,2024-01-18,13
336,2024-01-05,2024-01-05,0
337,2024-01-03,2024-01-05,2
338,2024-01-07,2024-01-20,13
339,2024-01-01,2024-01-03,2
340,2024-01-01,2024-01-01,0
341,2024-01-03,2024-02-01,29
342,2024-01-03,2024-01-05,2
343,2024-01-03,2024-01-09,6
344,2024-01-04,2024-01-17,13
345,2024-01-06,2024-01-12,6
346,2024-01-01,2024-01-07,6
347,2024-01-04,2024-01-04,0
348,2024-01-03,2024-01-09,6
349,2024-01-01,2024-01-07,6
350,2024-01-04,2024-01-04,0
351,2024-01-06,2024-01-08,2
352,2024-01-04,2024-01-04,0
353,2024-01-06,2024-01-19,13
354,2024-01-03,2024-01-03,0
355,2024-01-06,2024-02-04,29
356,2024-01-01,2024-01-30,29
357,2024-01-03,2024-01-09,6
358,2024-01-01,2024-01-01,0
359,2024-01-05,2024-02-03,29
360,2024-01-02,2024-01-31,29
361,2024-01-06,2024-01-08,2
362,2024-01-02,2024-01-04,2
363,2024-01-02,2024-01-04,2
364,2024-01-06,2024-01-12,6
365,2024-01-03,2024-01-16,13
366,2024-01-05,2024-02-03,29
367,2024-01-01,2024-01-14,13
368,2024-01-04,2024-02-02,29
369,2024-01-01,2024-01-01,0
370,2024-01-04,2024-01-06,2
371,2024-01-01,2024-01-14,13
372,2024-01-06,2024-01-06,0
373,2024-01-05,2024-01-11,6
374,2024-01-04,2024-01-17,13
375,2024-01-07,2024-02-05,29
376,2024-01-03,2024-01-09,6
377,2024-01-01,2024-01-07,6
378,2024-01-01,2024-01-07,6
379,2024-01-04,2024-02-02,29
380,2024-01-03,2024-01-09,6
381,2024-01-03,2024-01-09,6
382,2024-01-06,2024-01-08,2
383,2024-01-07,2024-01-09,2
384,2024-01-06,2024-01-19,13
385,2024-01-06,2024-01-06,0
386,2024-01-06,2024-01-08,2
387,2024-01-06,2024-01-08,2
388,2024-01-06,2024-02-04,29
389,2024-01-05,2024-02-03,29
390,2024-01-03,2024-01-05,2
391,2024-01-06,2024-02-04,29
392,2024-01-03,2024-01-05,2
393,2024-01-03,2024-02-01,29
394,2024-01-02,2024-01-02,0
395,2024-01-05,2024-01-18,13
396,2024-01-06,2024-01-19,13
397,2024-01-01,2024-01-03,2
398,2024-01-04,2024-01-06,2
399,2024-01-07,2024-01-13,6
400,2024-01-01,2024-01-03,2
401,2024-01-05,2024-01-07,2
402,2024-01-04,2024-01-17,13
403,2024-01-05,2024-01-11,6
404,2024-01-03,2024-01-09,6
405,2024-01-04,2024-02-02,29
406,2024-01-03,2024-01-05,2
407,2024-01-01,2024-01-14,13
408,2024-01-01,2024-01-07,6
409,2024-01-04,2024-01-17,13
410,2024-01-04,2024-02-02,29
411,2024-01-06,2024-02-04,29
412,2024-01-05,2024-01-11,6
413,2024-01-06,2024-01-08,2
414,2024-01-05,2024-01-07,2
415,2024-01-06,2024-01-08,2
416,2024-01-03,2024-01-05,2
417,2024-01-04,2024-01-10,6
418,2024-01-01,2024-01-14,13
419,2024-01-05,2024-01-11,6
420,2024-01-05,2024-01-11,6
421,2024-01-01,2024-01-14,13
422,2024-01-06,2024-01-08,2
423,2024-01-05,2024-01-07,2
424,2024-01-07,2024-01-07,0
425,2024-01-03,2024-01-05,2
426,2024-01-04,2024-01-10,6
427,2024-01-01,2024-01-07,6
428,2024-01-04,2024-01-10,6
429,2024-01-07,2024-02-05,29
430,2024-01-05,2024-01-05,0
431,2024-01-05,2024-01-11,6
432,2024-01-07,2024-01-20,13
433,2024-01-01,2024-01-14,13
434,2024-01-03,2024-02-01,29
435,2024-01-02,2024-01-08,6
436,2024-01-01,2024-01-07,6
437,2024-01-02,2024-01-04,2
438,2024-01-07,2024-01-13,6
439,2024-01-06,2024-01-08,2
440,2024-01-02,2024-01-15,13
441,2024-01-03,2024-01-09,6
442,2024-01-06,2024-01-19,13
443,2024-01-02,2024-01-04,2
444,2024-01-07,2024-01-09,2
445,2024-01-06,2024-01-06,0
446,2024-01-07,2024-01-07,0
447,2024-01-02,2024-01-08,6
448,2024-01-07,2024-01-07,0
449,2024-01-03,2024-01-03,0
450,2024-01-02,2024-01-31,29
451,2024-01-02,2024-01-31,29
452,2024-01-02,2024-01-04,2
453,2024-01-01,2024-01-07,6
454,2024-01-01,2024-01-03,2
455,2024-01-01,2024-01-30,29
456,2024-01-03,2024-01-09,6
457,2024-01-06,2024-01-12,6
458,2024-01-07,2024-01-20,13
459,2024-01-05,2024-01-11,6
460,2024-01-02,2024-01-31,29
461,2024-01-07,2024-02-05,29
462,2024-01-02,2024-01-08,6
463,2024-01-03,2024-02-01,29
464,2024-01-02,2024-01-08,6
465,2024-01-01,2024-01-03,2
466,2024-01-05,2024-01-18,13
467,2024-01-04,2024-01-06,2
468,2024-01-02,2024-01-15,13
469,2024-01-07,2024-02-05,29
470,2024-01-01,2024-01-14,13
471,2024-01-04,2024-02-02,29
472,2024-01-05,2024-01-11,6
473,2024-01-04,2024-01-04,0
474,2024-01-01,2024-01-03,2
475,2024-01-06,2024-01-12,6
476,2024-01-06,2024-02-04,29
477,2024-01-04,2024-01-17,13
478,2024-01-03,2024-01-05,2
479,2024-01-07,2024-01-09,2
480,2024-01-07,2024-01-13,6
481,2024-01-04,2024-01-17,13
482,2024-01-02,2024-01-04,2
483,2024-01-02,2024-01-31,29
484,2024-01-07,2024-02-05,29
485,2024-01-07,2024-01-07,0
486,2024-01-06,2024-01-08,2
487,2024-01-03,2024-01-09,6
488,2024-01-01,2024-01-30,29
489,2024-01-02,2024-01-31,29
490,2024-01-07,2024-01-20,13
491,2024-01-06,2024-02-04,29
492,2024-01-05,2024-01-07,2
493,2024-01-06,2024-01-12,6
494,2024-01-02,2024-01-15,13
495,2024-01-02,2024-01-02,0
496,2024-01-06,2024-01-19,13
497,2024-01-01,2024-01-14,13
498,2024-01-04,2024-01-17,13
499,2024-01-02,2024-01-02,0
500,2024-01-06,2024-01-08,2
501,2024-01-07,2024-01-09,2
502,2024-01-06,2024-01-08,2
503,2024-01-03,2024-01-09,6
504,2024-01-04,2024-01-06,2
