session_id,player_id,session_date,session_duration_minutes,level_reached,events_completed,purchase_amount
1,1,2024-01-07,54,2,7,0.0
2,1,2024-01-08,11,3,7,0.0
3,1,2024-01-08,41,3,7,0.0
4,1,2024-01-09,59,4,0,0.0
5,1,2024-01-09,42,4,2,0.0
6,1,2024-01-10,21,5,0,0.0
7,1,2024-01-11,19,6,4,0.0
8,1,2024-01-11,22,7,5,0.0
9,1,2024-01-12,59,7,0,0.0
10,1,2024-01-12,35,8,1,0.0
11,1,2024-01-13,35,9,2,0.0
12,1,2024-01-13,50,9,1,0.0
13,1,2024-01-14,59,9,4,0.0
14,1,2024-01-15,45,9,4,0.0
15,1,2024-01-15,45,10,0,0.0
16,1,2024-01-16,44,10,0,0.0
17,1,2024-01-16,44,10,7,0.0
18,1,2024-01-17,27,10,0,0.0
19,1,2024-01-17,48,10,7,0.0
20,1,2024-01-18,32,10,5,0.0
21,1,2024-01-18,41,10,4,0.0
22,1,2024-01-19,58,10,6,0.0
23,1,2024-01-19,22,10,6,0.0
24,1,2024-01-20,44,10,0,0.0
25,2,2024-01-04,31,2,2,0.0
26,2,2024-01-05,45,3,0,0.0
27,2,2024-01-06,21,4,3,0.0
28,3,2024-01-05,25,2,2,0.0
29,3,2024-01-06,34,3,4,0.0
30,3,2024-01-06,45,3,7,0.0
31,3,2024-01-07,48,4,1,0.0
32,3,2024-01-08,48,4,1,0.0
33,3,2024-01-08,14,4,4,0.0
34,3,2024-01-09,20,5,3,0.0
35,3,2024-01-10,19,5,0,0.0
36,3,2024-01-11,47,6,4,0.0
37,3,2024-01-12,51,7,2,0.0
38,3,2024-01-12,11,8,4,0.0
39,3,2024-01-13,28,8,4,0.0
40,3,2024-01-13,10,8,0,0.0
41,3,2024-01-14,16,8,3,0.0
42,3,2024-01-15,15,8,2,0.0
43,3,2024-01-15,53,8,2,0.0
44,3,2024-01-16,35,9,5,0.0
45,3,2024-01-16,12,10,1,0.0
46,3,2024-01-17,29,11,4,0.0
47,3,2024-01-17,50,11,2,0.0
48,3,2024-01-18,37,11,6,0.0
49,3,2024-01-19,58,12,0,0.0
50,3,2024-01-19,47,12,1,0.0
